project,dataset,tableName,connection,tableType,lastModifiedBy,last ModifiedOn,data type
202230227NETWORKMEMBERBEENFITS,plantab1_v,plantab1_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,27/02/2023,input data
202230227NETWORKMEMBERBEENFITS,pmi_claims_directive_v,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,27/02/2023,input data
202230227NETWORKMEMBERBEENFITS,output_base,,filesystem_managed,Filesystem,cartemp,27/02/2023,intermediate storage
202230227NETWORKMEMBERBEENFITS,output_base_by_group_size,,filesystem_managed,Filesystem,cartemp,27/02/2023,intermediate storage
20230207DIRECTIVEVOLUME,pmi_claims_directive_v,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,07/02/2023,input data
20230207DIRECTIVEVOLUME,pmi_claims_directive_v_filtered,,filesystem_managed,Filesystem,cartemp,07/02/2023,intermediate storage
20230207DIRECTIVEVOLUME,pmi_claims_directive_v_filtered_by_prov_aud_last_maintained_date,,filesystem_managed,Filesystem,cartemp,07/02/2023,intermediate storage
20230227DIRECTIVESPINEVOLUME,pmi_claims_directive_v,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,07/02/2023,input data
20230227DIRECTIVESPINEVOLUME,pmi_claims_directive_v_filtered,,filesystem_managed,Filesystem,cartemp,07/02/2023,intermediate storage
20230227DIRECTIVESPINEVOLUME,pmi_claims_directive_v_filtered_by_prov_aud_last_maintained_date,,filesystem_managed,Filesystem,cartemp,07/02/2023,intermediate storage
20230518TOPGUIDINGPROVIDERS,pmi_claims_directive_v,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,18/05/2023,input data
20230518TOPGUIDINGPROVIDERS,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,18/05/2023,input data
20230518TOPGUIDINGPROVIDERS,direct_output,,floss_s3,S3,cartemp,18/05/2023,intermediate storage
20230518TOPGUIDINGPROVIDERS,directed_cases,,floss_s3,S3,cartemp,18/05/2023,intermediate storage
20230518TOPGUIDINGPROVIDERS,test,,floss_s3,S3,cartemp,18/05/2023,intermediate storage
20230606NETWORKAUTHSCOPEDATA,vw_acpm_thi_ntwrk,vw_acpm_thi_ntwrk,fdp_datalake_hive,JDBC,cartemp,06/06/2023,input data
20230606NETWORKAUTHSCOPEDATA,vw_acpm_thi_ntwrk_a_s_typ,vw_acpm_thi_ntwrk_a_s_typ,fdp_datalake_hive,JDBC,cartemp,06/06/2023,input data
20230606NETWORKAUTHSCOPEDATA,vw_acpm_thi_ntwrk_a_s_typ,vw_acpm_thi_ntwrk_a_s_typ,fdp_datalake_hive,JDBC,cartemp,06/06/2023,input data
20230606NETWORKAUTHSCOPEDATA,vw_acpm_thi_visit,claim_visits_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,06/06/2023,input data
20230606NETWORKAUTHSCOPEDATA,auth_data,,floss_s3,S3,cartemp,20/06/2023,intermediate storage
20230606NETWORKAUTHSCOPEDATA,output_auth_data,,floss_s3,S3,cartemp,06/06/2023,intermediate storage
20230606NETWORKAUTHSCOPEDATA,output_auth_data,,floss_s3,S3,cartemp,06/06/2023,intermediate storage
20230711CARDIO,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,07/12/2023,input data
20230711CARDIO,practitioner_details_v,practitioner_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,07/12/2023,input data
20230711CARDIO,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,07/12/2023,input data
20230711CARDIO,out2,,filesystem_managed,Filesystem,cartemp,13/02/2024,intermediate storage
20230711CARDIO,output1,,filesystem_managed,Filesystem,cartemp,13/02/2024,intermediate storage
20230711CARDIO,base_data,,floss_s3,S3,cartemp,07/12/2023,intermediate storage
20230810SPINEBILLING,pmi_claims_directive_v,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,10/08/2023,input data
20230810SPINEBILLING,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,10/08/2023,input data
20230810SPINEBILLING,vedafile_v,vedafile_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,10/08/2023,input data
20230810SPINEBILLING,list_bill,20230810SPINEBILLING_list_bill,bss_ssi_ukhflosc_hive,JDBC,cartemp,10/08/2023,SSI
20230810SPINEBILLING,vw_acpm_thi08009,vw_acpm_thi08009,fdp_datalake_hive,JDBC,cartemp,10/08/2023,input data
20230810SPINEBILLING,list_bills,,floss_s3,S3,cartemp,10/08/2023,intermediate storage
20230810SPINEBILLING,ntwrk_cases,,floss_s3,S3,cartemp,10/08/2023,intermediate storage
20230811MARSDENSPEND,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,11/08/2023,input data
20230811MARSDENSPEND,marsden,,floss_s3,S3,cartemp,11/08/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,25/09/2023,input data
20230925CARDIOCLAIMCHECKS,procedure_codes_v,procedure_codes_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,19/12/2023,input data
20230925CARDIOCLAIMCHECKS,revenue_details_v,revenue_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,19/12/2023,input data
20230925CARDIOCLAIMCHECKS,treatment_details_v,treatment_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,19/12/2023,input data
