Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
0,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,ADD_ACTION_ID,"A unique, system-generated key that identifies an add action in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,MATCH_RELEV_TP_CD,Identifies the CONTACT match relevancies - scores and descriptions.,BIGINT,,,Not Null,No,,,,,,,
2,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,SUSP_REASON_TP_CD,"Describes the critical data that was considered ""matched"" between two particular CONTACT records during suspect processing. Examples include all elements matched (first name, last name, and so forth).",BIGINT,,,Not Null,No,,,,,,,
3,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,ORG_TP_CD,"Identifies the classification of the organization. For example, trust, company, charity, estate, and so forth.",BIGINT,,,Null,No,,,,,,,
4,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,PERSON_ORG_CODE,Indicates the type of CONTACT - person or organization.,CHAR(1),,,Not Null,No,,,,,,,
5,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,ADD_ACTION_CODE,Identifies the action taken as a result of suspect duplicate identification.,CHAR(2),,,Not Null,No,,,,,,,
6,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
7,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
8,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
9,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDACTIONTYPE,The ADDACTIONTYPE table identifies an action taken as a result of suspect duplicate identification. This table is used by the following domain. v Party Domain ,SUSPECT_TP_CD,Suspect Type code captures various suspect types. One record exists for each unique add_action_code in the addactiontype table.,BIGINT,,,Null,No,,,,,,,
10,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",ADDRESS_ID,"A unique, system-generated key that identifies an address in the system.",BIGINT,,,Not Null,Yes,,,,,,,
11,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",COUNTRY_TP_CD,Identifies a country.,BIGINT,,,Null,No,,,,,,,
12,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",RESIDENCE_TP_CD,"A type of residence for a given address. Some examples include Home, Apartment and Suite.",BIGINT,,,Null,No,,,,,,,
